name	price	life(days)	product_date
milk	5.5	7	2021/5/1
milk	5.5	7	2021/4/26
milk	5.5	7	2021/4/26
milk	5.5	7	2021/4/27
milk	5.5	7	2021/4/28
milk	5.5	7	2021/5/2
milk	5.5	7	2021/4/25
milk	5.5	7	2021/5/1
milk	5.5	7	2021/4/25
yogurt	5.9	10	2021/4/25
yogurt	5.9	10	2021/4/26
yogurt	5.9	10	2021/4/23
yogurt	5.9	10	2021/5/2
yogurt	5.9	10	2021/5/1
yogurt	5.9	10	2021/4/25
lunch	11.8	2	2021/5/1
lunch	11.8	2	2021/5/1
lunch	11.8	2	2021/5/2
lunch	11.8	2	2021/5/2
lunch	11.8	2	2021/5/1
bread	4.5	3	2021/5/1
bread	4.5	3	2021/5/2
bread	4.5	3	2021/4/30
bread	4.5	3	2021/5/2
bread	4.5	3	2021/5/1
bread	4.5	3	2021/4/30
bread	4.5	3	2021/5/2
sausage	3	1	2021/5/2
sausage	3	1	2021/5/2
sausage	3	1	2021/5/2
sausage	3	1	2021/5/2
sausage	3	1	2021/5/2
sausage	3	1	2021/5/2
oden	6	1	2021/5/2
oden	6	1	2021/5/2
oden	6	1	2021/5/2
oden	6	1	2021/5/2
oden	6	1	2021/5/2
oden	6	1	2021/5/2
oden	6	1	2021/5/2
bun	2	1	2021/5/2
bun	2	1	2021/5/2
bun	2	1	2021/5/2
bun	2	1	2021/5/2
bun	2	1	2021/5/2
bun	2	1	2021/5/2
fruit	4.2	1	2021/5/2
fruit	4.2	2	2021/5/2
fruit	4.2	3	2021/4/29
fruit	4.2	4	2021/4/29
